year,source,target,value
2014,Kelantan,other,2
2014,Melaka,17-24,6309
2014,Melaka,25-29,1115
2014,Melaka,30-34,845
2014,Melaka,35-39,706
2014,Melaka,40-44,530
2014,Melaka,45-49,382
2014,Melaka,50-54,244
2014,Melaka,55-59,125
2014,Melaka,60-64,11
2014,Melaka,other,10
2014,Negeri Sembilan,17-24,2767
2014,Negeri Sembilan,25-29,608
2014,Negeri Sembilan,30-34,594
2014,Negeri Sembilan,35-39,405
2014,Negeri Sembilan,40-44,324
2014,Negeri Sembilan,45-49,235
2014,Negeri Sembilan,50-54,149
2014,Negeri Sembilan,55-59,67
2014,Negeri Sembilan,60-64,6
2014,Negeri Sembilan,other,6
2014,Pahang,17-24,3510
2014,Pahang,25-29,508
2014,Pahang,30-34,474
2014,Pahang,35-39,309
2014,Pahang,40-44,235
2014,Pahang,45-49,169
2014,Pahang,50-54,138
2014,Pahang,55-59,74
2014,Pahang,60-64,2
2014,Pahang,other,2
2014,Perak,17-24,8913
2014,Perak,25-29,1749
2014,Perak,30-34,1488
2014,Perak,35-39,1112
2014,Perak,40-44,842
2014,Perak,45-49,554
2014,Perak,50-54,398
2014,Perak,55-59,163
2014,Perak,60-64,13
2014,Perak,other,64
2014,Pulau Pinang,17-24,4779
2014,Pulau Pinang,25-29,2714
2014,Pulau Pinang,30-34,3018
2014,Pulau Pinang,35-39,2727
2014,Pulau Pinang,40-44,2241
2014,Pulau Pinang,45-49,1690
2014,Pulau Pinang,50-54,827
2014,Pulau Pinang,55-59,306
2014,Pulau Pinang,60-64,66
2014,Pulau Pinang,other,8
2014,Sabah,17-24,3442
2014,Sabah,25-29,1468
2014,Sabah,30-34,1078
2014,Sabah,35-39,834
2014,Sabah,40-44,576
2014,Sabah,45-49,373
2014,Sabah,50-54,285
2014,Sabah,55-59,111
2014,Sabah,60-64,13
2014,Sabah,other,27
2014,Sarawak,17-24,3162
2014,Sarawak,25-29,1599
2014,Sarawak,30-34,1125
2014,Sarawak,35-39,1039
2014,Sarawak,40-44,832
2014,Sarawak,45-49,626
2014,Sarawak,50-54,446
2014,Sarawak,55-59,218
2014,Sarawak,60-64,21
2014,Sarawak,other,3
2014,Selangor,17-24,3987
2014,Selangor,25-29,1357
2014,Selangor,30-34,1104
2014,Selangor,35-39,852
2014,Selangor,40-44,673
2014,Selangor,45-49,450
2014,Selangor,50-54,208
2014,Selangor,55-59,110
2014,Selangor,60-64,6
2014,Selangor,other,13
2014,Terengganu,17-24,4769
2014,Terengganu,25-29,488
2014,Terengganu,30-34,321
2014,Terengganu,35-39,163
2014,Terengganu,40-44,119
2014,Terengganu,45-49,79
2014,Terengganu,50-54,48
2014,Terengganu,55-59,16
2014,Terengganu,60-64,1
2014,Terengganu,other,2
2015,Johor,17-24,5112
2015,Johor,25-29,2106
2015,Johor,30-34,1872
2015,Johor,35-39,1445
2015,Johor,40-44,1017
2015,Johor,45-49,679
2015,Johor,50-54,402
2015,Johor,55-59,175
2015,Johor,60-64,31
2015,Johor,other,66
2015,Kedah,17-24,11522
2015,Kedah,25-29,2323
2015,Kedah,30-34,1830
2015,Kedah,35-39,1373
2015,Kedah,40-44,1049
2015,Kedah,45-49,708
2015,Kedah,50-54,508
2015,Kedah,55-59,217
2015,Kedah,60-64,16
2015,Kedah,other,14
2015,Kelantan,17-24,5353
2015,Kelantan,25-29,852
2015,Kelantan,30-34,652
2015,Kelantan,35-39,475
2015,Kelantan,40-44,410
2015,Kelantan,45-49,294
2015,Kelantan,50-54,152
2015,Kelantan,55-59,96
2015,Kelantan,60-64,8
2015,Kelantan,other,1
2015,Melaka,17-24,5811
2015,Melaka,25-29,1275
2015,Melaka,30-34,1037
2015,Melaka,35-39,749
2015,Melaka,40-44,581
2015,Melaka,45-49,440
2015,Melaka,50-54,276
2015,Melaka,55-59,147
2015,Melaka,60-64,13
2015,Melaka,other,11
2015,Negeri Sembilan,17-24,3418
2015,Negeri Sembilan,25-29,754
2015,Negeri Sembilan,30-34,647
2015,Negeri Sembilan,35-39,486
2015,Negeri Sembilan,40-44,380
2015,Negeri Sembilan,45-49,313
2015,Negeri Sembilan,50-54,215
2015,Negeri Sembilan,55-59,92
2015,Negeri Sembilan,60-64,19
2015,Negeri Sembilan,other,2
2015,Pahang,17-24,3169
2015,Pahang,25-29,494
2015,Pahang,30-34,467
2015,Pahang,35-39,292
2015,Pahang,40-44,243
2015,Pahang,45-49,218
2015,Pahang,50-54,180
2015,Pahang,55-59,67
2015,Pahang,60-64,14
2015,Pahang,other,1
2015,Perak,17-24,8821
2015,Perak,25-29,1661
2015,Perak,30-34,1418
2015,Perak,35-39,1090
2015,Perak,40-44,809
2015,Perak,45-49,527
2015,Perak,50-54,390
2015,Perak,55-59,174
2015,Perak,60-64,22
2015,Perak,other,25
2015,Pulau Pinang,17-24,6196
2015,Pulau Pinang,25-29,2684
2015,Pulau Pinang,30-34,2687
2015,Pulau Pinang,35-39,2360
2015,Pulau Pinang,40-44,1758
2015,Pulau Pinang,45-49,1217
2015,Pulau Pinang,50-54,403
2015,Pulau Pinang,55-59,96
2015,Pulau Pinang,60-64,7
2015,Pulau Pinang,other,9
2015,Sabah,17-24,3518
2015,Sabah,25-29,1477
2015,Sabah,30-34,1147
2015,Sabah,35-39,830
2015,Sabah,40-44,552
2015,Sabah,45-49,412
2015,Sabah,50-54,240
2015,Sabah,55-59,112
2015,Sabah,60-64,13
2015,Sabah,other,21
2015,Sarawak,17-24,3393
2015,Sarawak,25-29,1262
2015,Sarawak,30-34,1030
2015,Sarawak,35-39,773
2015,Sarawak,40-44,565
2015,Sarawak,45-49,413
2015,Sarawak,50-54,271
2015,Sarawak,55-59,154
2015,Sarawak,60-64,16
2015,Selangor,17-24,3692
2015,Selangor,25-29,1354
2015,Selangor,30-34,1112
2015,Selangor,35-39,906
2015,Selangor,40-44,602
2015,Selangor,45-49,461
2015,Selangor,50-54,245
2015,Selangor,55-59,110
2015,Selangor,60-64,5
2015,Selangor,other,1
2015,Terengganu,17-24,4530
2015,Terengganu,25-29,596
2015,Terengganu,30-34,393
2015,Terengganu,35-39,254
2015,Terengganu,40-44,188
2015,Terengganu,45-49,134
2015,Terengganu,50-54,100
2015,Terengganu,55-59,53
2015,Terengganu,60-64,2
2015,Terengganu,other,2
2016,Johor,17-24,4305
2016,Johor,25-29,1584
2016,Johor,30-34,1456
2016,Johor,35-39,1092
2016,Johor,40-44,854
2016,Johor,45-49,558
2016,Johor,50-54,350
2016,Johor,55-59,153
2016,Johor,60-64,26
2016,Johor,other,11
2016,Kedah,17-24,9804
2016,Kedah,25-29,2211
2016,Kedah,30-34,1734
2016,Kedah,35-39,1288
2016,Kedah,40-44,997
2016,Kedah,45-49,652
2016,Kedah,50-54,444
2016,Kedah,55-59,209
2016,Kedah,60-64,23
2016,Kedah,other,7
2016,Kelantan,17-24,4267
2016,Kelantan,25-29,753
2016,Kelantan,30-34,572
2016,Kelantan,35-39,448
2016,Kelantan,40-44,375
2016,Kelantan,45-49,258
2016,Kelantan,50-54,176
2016,Kelantan,55-59,87
2016,Kelantan,60-64,11
2016,Kelantan,other,3
2016,Melaka,17-24,5712
2016,Melaka,25-29,1149
2016,Melaka,30-34,942
2016,Melaka,35-39,678
2016,Melaka,40-44,506
2016,Melaka,45-49,383
2016,Melaka,50-54,261
2016,Melaka,55-59,133
2016,Melaka,60-64,18
2016,Melaka,other,5
2016,Negeri Sembilan,17-24,2845
2016,Negeri Sembilan,25-29,794
2016,Negeri Sembilan,30-34,694
2016,Negeri Sembilan,35-39,533
2016,Negeri Sembilan,40-44,435
2016,Negeri Sembilan,45-49,273
2016,Negeri Sembilan,50-54,244
2016,Negeri Sembilan,55-59,100
2016,Negeri Sembilan,60-64,15
2016,Negeri Sembilan,other,4
2016,Pahang,17-24,2501
2016,Pahang,25-29,411
2016,Pahang,30-34,383
2016,Pahang,35-39,321
2016,Pahang,40-44,224
2016,Pahang,45-49,167
2016,Pahang,50-54,128
2016,Pahang,55-59,53
2016,Pahang,60-64,2
2016,Pahang,other,5
2016,Perak,17-24,8522
2016,Perak,25-29,1687
2016,Perak,30-34,1526
2016,Perak,35-39,1049
2016,Perak,40-44,789
2016,Perak,45-49,607
2016,Perak,50-54,392
2016,Perak,55-59,186
2016,Perak,60-64,17
2016,Perak,other,12
2016,Pulau Pinang,17-24,5280
2016,Pulau Pinang,25-29,2252
2016,Pulau Pinang,30-34,2189
2016,Pulau Pinang,35-39,1878
2016,Pulau Pinang,40-44,1308
2016,Pulau Pinang,45-49,892
2016,Pulau Pinang,50-54,386
2016,Pulau Pinang,55-59,134
2016,Pulau Pinang,60-64,7
2016,Pulau Pinang,other,7
2016,Sabah,17-24,4061
2016,Sabah,25-29,1840
2016,Sabah,30-34,1636
2016,Sabah,35-39,1409
2016,Sabah,40-44,1058
2016,Sabah,45-49,737
2016,Sabah,50-54,545
2016,Sabah,55-59,293
2016,Sabah,60-64,24
2016,Sabah,other,12
2016,Sarawak,17-24,2891
2016,Sarawak,25-29,1225
2016,Sarawak,30-34,927
2016,Sarawak,35-39,733
2016,Sarawak,40-44,515
2016,Sarawak,45-49,358
2016,Sarawak,50-54,253
2016,Sarawak,55-59,130
2016,Sarawak,60-64,14
2016,Sarawak,other,1
2016,Selangor,17-24,3654
2016,Selangor,25-29,1282
2016,Selangor,30-34,1099
2016,Selangor,35-39,895
2016,Selangor,40-44,603
2016,Selangor,45-49,414
2016,Selangor,50-54,223
2016,Selangor,55-59,108
2016,Selangor,60-64,10
2016,Selangor,other,3
2016,Terengganu,17-24,4522
2016,Terengganu,25-29,480
2016,Terengganu,30-34,379
2016,Terengganu,35-39,281
2016,Terengganu,40-44,173
2016,Terengganu,45-49,137
2016,Terengganu,50-54,69
2016,Terengganu,55-59,43
2016,Terengganu,60-64,3
2016,Terengganu,other,4
2017,Johor,17-24,4933
2017,Johor,25-29,1869
2017,Johor,30-34,1504
2017,Johor,35-39,1266
2017,Johor,40-44,931
2017,Johor,45-49,639
2017,Johor,50-54,401
2017,Johor,55-59,211
2017,Johor,60-64,28
2017,Johor,other,7
2017,Kedah,17-24,10007
2017,Kedah,25-29,2086
2017,Kedah,30-34,1700
2017,Kedah,35-39,1361
2017,Kedah,40-44,943
2017,Kedah,45-49,619
2017,Kedah,50-54,415
2017,Kedah,55-59,210
2017,Kedah,60-64,14
2017,Kedah,other,10
2017,Kelantan,17-24,2
2017,Kelantan,25-29,1
2017,Kelantan,30-34,2
2017,Kelantan,35-39,1
2017,Kelantan,45-49,1
2017,Melaka,17-24,5334
2017,Melaka,25-29,1150
2017,Melaka,30-34,884
2017,Melaka,35-39,730
2017,Melaka,40-44,522
2017,Melaka,45-49,370
2017,Melaka,50-54,262
2017,Melaka,55-59,122
2017,Melaka,60-64,11
2017,Melaka,other,2
2017,Negeri Sembilan,17-24,2459
2017,Negeri Sembilan,25-29,713
2017,Negeri Sembilan,30-34,568
2017,Negeri Sembilan,35-39,553
2017,Negeri Sembilan,40-44,429
2017,Negeri Sembilan,45-49,304
2017,Negeri Sembilan,50-54,205
2017,Negeri Sembilan,55-59,116
2017,Negeri Sembilan,60-64,15
2017,Negeri Sembilan,other,5
2017,Pahang,17-24,2021
2017,Pahang,25-29,347
2017,Pahang,30-34,345
2017,Pahang,35-39,280
2017,Pahang,40-44,198
2017,Pahang,45-49,162
2017,Pahang,50-54,111
2017,Pahang,55-59,46
2017,Pahang,60-64,6
2017,Pahang,other,1
2017,Perak,17-24,7991
2017,Perak,25-29,1504
2017,Perak,30-34,1302
2017,Perak,35-39,1104
2017,Perak,40-44,787
2017,Perak,45-49,617
2017,Perak,50-54,390
2017,Perak,55-59,204
2017,Perak,60-64,18
2017,Perak,other,43
2017,Pulau Pinang,17-24,5135
2017,Pulau Pinang,25-29,1854
2017,Pulau Pinang,30-34,1570
2017,Pulau Pinang,35-39,1414
2017,Pulau Pinang,40-44,1037
2017,Pulau Pinang,45-49,695
2017,Pulau Pinang,50-54,288
2017,Pulau Pinang,55-59,97
2017,Pulau Pinang,60-64,4
2017,Pulau Pinang,other,13
2017,Sabah,17-24,4642
2017,Sabah,25-29,2012
2017,Sabah,30-34,1725
2017,Sabah,35-39,1392
2017,Sabah,40-44,986
2017,Sabah,45-49,705
2017,Sabah,50-54,493
2017,Sabah,55-59,266
2017,Sabah,60-64,22
2017,Sabah,other,10
2017,Sarawak,17-24,2731
2017,Sarawak,25-29,1067
2017,Sarawak,30-34,810
2017,Sarawak,35-39,673
2017,Sarawak,40-44,553
2017,Sarawak,45-49,353
2017,Sarawak,50-54,236
2017,Sarawak,55-59,115
2017,Sarawak,60-64,14
2017,Sarawak,other,3
2017,Selangor,17-24,3621
2017,Selangor,25-29,1308
2017,Selangor,30-34,1091
2017,Selangor,35-39,946
2017,Selangor,40-44,591
2017,Selangor,45-49,407
2017,Selangor,50-54,234
2017,Selangor,55-59,103
2017,Selangor,60-64,7
2017,Selangor,other,7
2017,Terengganu,17-24,3854
2017,Terengganu,25-29,579
2017,Terengganu,30-34,423
2017,Terengganu,35-39,335
2017,Terengganu,40-44,210
2017,Terengganu,45-49,175
2017,Terengganu,50-54,109
2017,Terengganu,55-59,63
2017,Terengganu,60-64,3
2017,Terengganu,other,5
2018,Johor,17-24,4431
2018,Johor,25-29,1889
2018,Johor,30-34,1642
2018,Johor,35-39,1403
2018,Johor,40-44,1051
2018,Johor,45-49,712
2018,Johor,50-54,443
2018,Johor,55-59,217
2018,Johor,60-64,29
2018,Johor,other,45
2018,Kedah,17-24,9471
2018,Kedah,25-29,1917
2018,Kedah,30-34,1794
2018,Kedah,35-39,1449
2018,Kedah,40-44,976
2018,Kedah,45-49,676
2018,Kedah,50-54,436
2018,Kedah,55-59,209
2018,Kedah,60-64,22
2018,Kedah,other,5
2018,Kelantan,17-24,4605
2018,Kelantan,25-29,678
2018,Kelantan,30-34,566
2018,Kelantan,35-39,490
2018,Kelantan,40-44,348
2018,Kelantan,45-49,241
2018,Kelantan,50-54,176
2018,Kelantan,55-59,78
2018,Kelantan,60-64,7
2018,Kelantan,other,1
2018,Melaka,17-24,4648
2018,Melaka,25-29,1121
2018,Melaka,30-34,843
2018,Melaka,35-39,798
2018,Melaka,40-44,511
2018,Melaka,45-49,356
2018,Melaka,50-54,230
2018,Melaka,55-59,124
2018,Melaka,60-64,9
2018,Melaka,other,15
2018,Negeri Sembilan,17-24,2493
2018,Negeri Sembilan,25-29,595
2018,Negeri Sembilan,30-34,484
2018,Negeri Sembilan,35-39,459
2018,Negeri Sembilan,40-44,333
2018,Negeri Sembilan,45-49,243
2018,Negeri Sembilan,50-54,153
2018,Negeri Sembilan,55-59,78
2018,Negeri Sembilan,60-64,10
2018,Negeri Sembilan,other,16
2018,Pahang,17-24,1089
2018,Pahang,25-29,316
2018,Pahang,30-34,246
2018,Pahang,35-39,231
2018,Pahang,40-44,177
2018,Pahang,45-49,132
2018,Pahang,50-54,103
2018,Pahang,55-59,41
2018,Pahang,60-64,7
2018,Perak,17-24,7609
2018,Perak,25-29,1500
2018,Perak,30-34,1431
2018,Perak,35-39,1279
2018,Perak,40-44,882
2018,Perak,45-49,633
2018,Perak,50-54,425
2018,Perak,55-59,203
2018,Perak,60-64,17
2018,Perak,other,16
2018,Pulau Pinang,17-24,4695
2018,Pulau Pinang,25-29,1731
2018,Pulau Pinang,30-34,1580
2018,Pulau Pinang,35-39,1463
2018,Pulau Pinang,40-44,1035
2018,Pulau Pinang,45-49,700
2018,Pulau Pinang,50-54,285
2018,Pulau Pinang,55-59,100
2018,Pulau Pinang,60-64,7
2018,Pulau Pinang,other,6
2018,Sabah,17-24,3928
2018,Sabah,25-29,1784
2018,Sabah,30-34,1585
2018,Sabah,35-39,1358
2018,Sabah,40-44,963
2018,Sabah,45-49,679
2018,Sabah,50-54,432
2018,Sabah,55-59,246
2018,Sabah,60-64,18
2018,Sabah,other,15
2018,Sarawak,17-24,2751
2018,Sarawak,25-29,1070
2018,Sarawak,30-34,834
2018,Sarawak,35-39,665
2018,Sarawak,40-44,520
2018,Sarawak,45-49,423
2018,Sarawak,50-54,250
2018,Sarawak,55-59,120
2018,Sarawak,60-64,13
2018,Sarawak,other,4
2018,Selangor,17-24,3452
2018,Selangor,25-29,1233
2018,Selangor,30-34,1034
2018,Selangor,35-39,925
2018,Selangor,40-44,607
2018,Selangor,45-49,456
2018,Selangor,50-54,231
2018,Selangor,55-59,87
2018,Selangor,60-64,4
2018,Selangor,other,18
2018,Terengganu,17-24,4483
2018,Terengganu,25-29,618
2018,Terengganu,30-34,450
2018,Terengganu,35-39,401
2018,Terengganu,40-44,279
2018,Terengganu,45-49,188
2018,Terengganu,50-54,121
2018,Terengganu,55-59,51
2018,Terengganu,60-64,8
2018,Terengganu,other,6
2019,Johor,17-24,4894
2019,Johor,25-29,2099
2019,Johor,30-34,1744
2019,Johor,35-39,1670
2019,Johor,40-44,1211
2019,Johor,45-49,840
2019,Johor,50-54,544
2019,Johor,55-59,278
2019,Johor,60-64,39
2019,Johor,other,57
2019,Kedah,17-24,6196
2019,Kedah,25-29,1251
2019,Kedah,30-34,1068
2019,Kedah,35-39,958
2019,Kedah,40-44,692
2019,Kedah,45-49,468
2019,Kedah,50-54,280
2019,Kedah,55-59,151
2019,Kedah,60-64,9
2019,Kedah,other,15
2019,Kelantan,17-24,2472
2019,Kelantan,25-29,464
2019,Kelantan,30-34,420
2019,Kelantan,35-39,396
2019,Kelantan,40-44,318
2019,Kelantan,45-49,203
2019,Kelantan,50-54,137
2019,Kelantan,55-59,67
2019,Kelantan,60-64,6
2019,Kelantan,other,1
2019,Melaka,17-24,4222
2019,Melaka,25-29,1105
2019,Melaka,30-34,878
2019,Melaka,35-39,819
2019,Melaka,40-44,496
2019,Melaka,45-49,327
2019,Melaka,50-54,204
2019,Melaka,55-59,127
2019,Melaka,60-64,12
2019,Melaka,other,21
2019,Negeri Sembilan,17-24,2352
2019,Negeri Sembilan,25-29,695
2019,Negeri Sembilan,30-34,600
2019,Negeri Sembilan,35-39,502
2019,Negeri Sembilan,40-44,389
2019,Negeri Sembilan,45-49,249
2019,Negeri Sembilan,50-54,174
2019,Negeri Sembilan,55-59,94
2019,Negeri Sembilan,60-64,6
2019,Negeri Sembilan,other,10
2019,Pahang,17-24,2874
2019,Pahang,25-29,891
2019,Pahang,30-34,874
2019,Pahang,35-39,869
2019,Pahang,40-44,551
2019,Pahang,45-49,433
2019,Pahang,50-54,315
2019,Pahang,55-59,189
2019,Pahang,60-64,22
2019,Perak,17-24,6288
2019,Perak,25-29,1287
2019,Perak,30-34,1172
2019,Perak,35-39,1086
2019,Perak,40-44,756
2019,Perak,45-49,521
2019,Perak,50-54,348
2019,Perak,55-59,188
2019,Perak,60-64,8
2019,Perak,other,9
2019,Pulau Pinang,17-24,3991
2019,Pulau Pinang,25-29,1698
2019,Pulau Pinang,30-34,1432
2019,Pulau Pinang,35-39,1350
2019,Pulau Pinang,40-44,1022
2019,Pulau Pinang,45-49,693
2019,Pulau Pinang,50-54,355
2019,Pulau Pinang,55-59,166
2019,Pulau Pinang,60-64,4
2019,Pulau Pinang,other,8
2019,Sabah,17-24,3426
2019,Sabah,25-29,2010
2019,Sabah,30-34,1665
2019,Sabah,35-39,1735
2019,Sabah,40-44,1174
2019,Sabah,45-49,873
2019,Sabah,50-54,763
2019,Sabah,55-59,365
2019,Sabah,60-64,48
2019,Sabah,other,13
2019,Sarawak,17-24,2587
2019,Sarawak,25-29,1015
2019,Sarawak,30-34,914
2019,Sarawak,35-39,807
2019,Sarawak,40-44,589
2019,Sarawak,45-49,436
2019,Sarawak,50-54,244
2019,Sarawak,55-59,142
2019,Sarawak,60-64,9
2019,Sarawak,other,4
2019,Selangor,17-24,3098
2019,Selangor,25-29,1294
2019,Selangor,30-34,1046
2019,Selangor,35-39,921
2019,Selangor,40-44,652
2019,Selangor,45-49,413
2019,Selangor,50-54,243
2019,Selangor,55-59,103
2019,Selangor,60-64,6
2019,Selangor,other,16
2019,Terengganu,17-24,3681
2019,Terengganu,25-29,565
2019,Terengganu,30-34,415
2019,Terengganu,35-39,405
2019,Terengganu,40-44,222
2019,Terengganu,45-49,173
2019,Terengganu,50-54,101
2019,Terengganu,55-59,52
2019,Terengganu,60-64,9
2019,Terengganu,other,1
2020,Johor,17-24,3884
2020,Johor,25-29,2037
2020,Johor,30-34,1695
2020,Johor,35-39,1504
2020,Johor,40-44,1119
2020,Johor,45-49,759
2020,Johor,50-54,516
2020,Johor,55-59,276
2020,Johor,60-64,25
2020,Johor,other,2
2020,Kedah,17-24,2139
2020,Kedah,25-29,693
2020,Kedah,30-34,580
2020,Kedah,35-39,498
2020,Kedah,40-44,298
2020,Kedah,45-49,199
2020,Kedah,50-54,129
2020,Kedah,55-59,102
2020,Kedah,60-64,4
2020,Kedah,other,5
2020,Kelantan,17-24,1720
2020,Kelantan,25-29,665
2020,Kelantan,30-34,521
2020,Kelantan,35-39,437
2020,Kelantan,40-44,279
2020,Kelantan,45-49,176
2020,Kelantan,50-54,121
2020,Kelantan,55-59,71
2020,Kelantan,60-64,6
2020,Kelantan,other,2
2020,Melaka,17-24,2702
2020,Melaka,25-29,1135
2020,Melaka,30-34,720
2020,Melaka,35-39,724
2020,Melaka,40-44,485
2020,Melaka,45-49,267
2020,Melaka,50-54,176
2020,Melaka,55-59,108
2020,Melaka,60-64,8
2020,Melaka,other,1
2020,Negeri Sembilan,17-24,1477
2020,Negeri Sembilan,25-29,691
2020,Negeri Sembilan,30-34,547
2020,Negeri Sembilan,35-39,519
2020,Negeri Sembilan,40-44,344
2020,Negeri Sembilan,45-49,229
2020,Negeri Sembilan,50-54,146
2020,Negeri Sembilan,55-59,83
2020,Negeri Sembilan,60-64,2
2020,Negeri Sembilan,other,2
2020,Pahang,17-24,2554
2020,Pahang,25-29,1051
2020,Pahang,30-34,841
2020,Pahang,35-39,807
2020,Pahang,40-44,543
2020,Pahang,45-49,350
2020,Pahang,50-54,231
2020,Pahang,55-59,127
2020,Pahang,60-64,8
2020,Pahang,other,2
2020,Perak,17-24,3463
2020,Perak,25-29,1436
2020,Perak,30-34,1198
2020,Perak,35-39,1084
2020,Perak,40-44,667
2020,Perak,45-49,426
2020,Perak,50-54,386
2020,Perak,55-59,185
2020,Perak,60-64,10
2020,Perak,other,1
2020,Pulau Pinang,17-24,2250
2020,Pulau Pinang,25-29,1274
2020,Pulau Pinang,30-34,1063
2020,Pulau Pinang,35-39,1059
2020,Pulau Pinang,40-44,771
2020,Pulau Pinang,45-49,516
2020,Pulau Pinang,50-54,315
2020,Pulau Pinang,55-59,153
2020,Pulau Pinang,60-64,12
2020,Pulau Pinang,other,1
2020,Sabah,17-24,2605
2020,Sabah,25-29,1591
2020,Sabah,30-34,1560
2020,Sabah,35-39,1430
2020,Sabah,40-44,1011
2020,Sabah,45-49,703
2020,Sabah,50-54,814
2020,Sabah,55-59,231
2020,Sabah,60-64,21
2020,Sabah,other,1
2020,Sarawak,17-24,1505
2020,Sarawak,25-29,956
2020,Sarawak,30-34,789
2020,Sarawak,35-39,664
2020,Sarawak,40-44,507
2020,Sarawak,45-49,324
2020,Sarawak,50-54,195
2020,Sarawak,55-59,112
2020,Sarawak,60-64,10
2020,Sarawak,other,1
2020,Selangor,17-24,2336
2020,Selangor,25-29,1218
2020,Selangor,30-34,919
2020,Selangor,35-39,765
2020,Selangor,40-44,509
2020,Selangor,45-49,349
2020,Selangor,50-54,217
2020,Selangor,55-59,76
2020,Selangor,60-64,4
2020,Selangor,other,1
2020,Terengganu,17-24,1989
2020,Terengganu,25-29,732
2020,Terengganu,30-34,499
2020,Terengganu,35-39,509
2020,Terengganu,40-44,350
2020,Terengganu,45-49,218
2020,Terengganu,50-54,93
2020,Terengganu,55-59,72
2020,Terengganu,60-64,4
2021,Johor,17-24,2609
2021,Johor,25-29,1788
2021,Johor,30-34,1383
2021,Johor,35-39,1399
2021,Johor,40-44,995
2021,Johor,45-49,618
2021,Johor,50-54,468
2021,Johor,55-59,231
2021,Johor,60-64,24
2021,Johor,other,6
2021,Kedah,17-24,1950
2021,Kedah,25-29,600
2021,Kedah,30-34,515
2021,Kedah,35-39,539
2021,Kedah,40-44,372
2021,Kedah,45-49,260
2021,Kedah,50-54,179
2021,Kedah,55-59,109
2021,Kedah,60-64,11
2021,Kelantan,17-24,1209
2021,Kelantan,25-29,467
2021,Kelantan,30-34,345
2021,Kelantan,35-39,325
2021,Kelantan,40-44,194
2021,Kelantan,45-49,173
2021,Kelantan,50-54,96
2021,Kelantan,55-59,44
2021,Kelantan,60-64,5
2021,Melaka,17-24,2038
2021,Melaka,25-29,937
2021,Melaka,30-34,660
2021,Melaka,35-39,636
2021,Melaka,40-44,447
2021,Melaka,45-49,313
2021,Melaka,50-54,208
2021,Melaka,55-59,99
2021,Melaka,60-64,6
2021,Negeri Sembilan,17-24,882
2021,Negeri Sembilan,25-29,578
2021,Negeri Sembilan,30-34,442
2021,Negeri Sembilan,35-39,432
2021,Negeri Sembilan,40-44,300
2021,Negeri Sembilan,45-49,161
2021,Negeri Sembilan,50-54,96
2021,Negeri Sembilan,55-59,46
2021,Negeri Sembilan,60-64,5
2021,Negeri Sembilan,other,1
2021,Pahang,17-24,1713
2021,Pahang,25-29,780
2021,Pahang,30-34,640
2021,Pahang,35-39,671
2021,Pahang,40-44,476
2021,Pahang,45-49,274
2021,Pahang,50-54,166
2021,Pahang,55-59,82
2021,Pahang,60-64,6
2021,Perak,17-24,2914
2021,Perak,25-29,1381
2021,Perak,30-34,1057
2021,Perak,35-39,1161
2021,Perak,40-44,697
2021,Perak,45-49,440
2021,Perak,50-54,295
2021,Perak,55-59,179
2021,Perak,60-64,6
2021,Pulau Pinang,17-24,1794
2021,Pulau Pinang,25-29,1103
2021,Pulau Pinang,30-34,920
2021,Pulau Pinang,35-39,824
2021,Pulau Pinang,40-44,719
2021,Pulau Pinang,45-49,488
2021,Pulau Pinang,50-54,259
2021,Pulau Pinang,55-59,139
2021,Pulau Pinang,60-64,7
2021,Pulau Pinang,other,2
2021,Sabah,17-24,1739
2021,Sabah,25-29,1292
2021,Sabah,30-34,1042
2021,Sabah,35-39,977
2021,Sabah,40-44,844
2021,Sabah,45-49,532
2021,Sabah,50-54,416
2021,Sabah,55-59,183
2021,Sabah,60-64,21
2021,Sabah,other,4
2021,Sarawak,17-24,1640
2021,Sarawak,25-29,906
2021,Sarawak,30-34,742
2021,Sarawak,35-39,650
2021,Sarawak,40-44,447
2021,Sarawak,45-49,290
2021,Sarawak,50-54,183
2021,Sarawak,55-59,105
2021,Sarawak,60-64,3
2021,Selangor,17-24,1283
2021,Selangor,25-29,844
2021,Selangor,30-34,672
2021,Selangor,35-39,595
2021,Selangor,40-44,364
2021,Selangor,45-49,234
2021,Selangor,50-54,180
2021,Selangor,55-59,77
2021,Selangor,60-64,3
2021,Selangor,other,1
2021,Terengganu,17-24,1711
2021,Terengganu,25-29,564
2021,Terengganu,30-34,401
2021,Terengganu,35-39,349
2021,Terengganu,40-44,277
2021,Terengganu,45-49,178
2021,Terengganu,50-54,139
2021,Terengganu,55-59,71
2021,Terengganu,60-64,6
2021,Terengganu,other,1
2022,Johor,17-24,3084
2022,Johor,25-29,1871
2022,Johor,30-34,1462
2022,Johor,35-39,1280
2022,Johor,40-44,1101
2022,Johor,45-49,686
2022,Johor,50-54,543
2022,Johor,55-59,247
2022,Johor,60-64,32
2022,Johor,other,5
2022,Kedah,17-24,3081
2022,Kedah,25-29,469
2022,Kedah,30-34,402
2022,Kedah,35-39,395
2022,Kedah,40-44,324
2022,Kedah,45-49,209
2022,Kedah,50-54,146
2022,Kedah,55-59,69
2022,Kedah,60-64,4
2022,Kedah,other,2
2022,Kelantan,17-24,2035
