year,source,target,value
2017,Hospital Raja Permaisuri Bainun,Perak,9088
2017,Hospital Seberang Jaya,Pulau Pinang,4615
2017,Hospital Seri Manjung,Perak,1453
2017,Hospital Sultan Haji Ahmad Shah,Pahang,2185
2017,Hospital Sultanah Aminah,Johor,9610
2017,Hospital Sultanah Bahiyah,Kedah,17365
2017,Hospital Sultanah Nora Ismail,Johor,2179
2017,Hospital Sultanah Nur Zahirah,Terengganu,5756
2017,Hospital Taiping,Perak,3419
2017,Hospital Tawau,Sabah,3254
2017,Hospital Tengku Ampuan Afzan,Pahang,1332
2017,Hospital Tengku Ampuan Rahimah,Selangor,8315
2017,Hospital Tuanku Jaafar,Negeri Sembilan,5367
2017,Hospital Umum Sarawak,Sarawak,4390
2018,Hospital Melaka,Melaka,8655
2018,Hospital Miri,Sarawak,2067
2018,Hospital Pulau Pinang,Pulau Pinang,6784
2018,Hospital Queen Elizabeth Ii,Sabah,7944
2018,Hospital Raja Perempuan Zainab Ii,Kelantan,7190
2018,Hospital Raja Permaisuri Bainun,Perak,9163
2018,Hospital Seberang Jaya,Pulau Pinang,4818
2018,Hospital Seri Manjung,Perak,1861
2018,Hospital Sultan Haji Ahmad Shah,Pahang,2206
2018,Hospital Sultanah Aminah,Johor,9875
2018,Hospital Sultanah Bahiyah,Kedah,16955
2018,Hospital Sultanah Nora Ismail,Johor,1987
2018,Hospital Sultanah Nur Zahirah,Terengganu,6605
2018,Hospital Taiping,Perak,2971
2018,Hospital Tawau,Sabah,3064
2018,Hospital Tengku Ampuan Afzan,Pahang,136
2018,Hospital Tengku Ampuan Rahimah,Selangor,8047
2018,Hospital Tuanku Jaafar,Negeri Sembilan,4864
2018,Hospital Umum Sarawak,Sarawak,4583
2019,Hospital Duchess Of Kent,Sabah,2704
2019,Hospital Melaka,Melaka,8211
2019,Hospital Miri,Sarawak,1998
2019,Hospital Pulau Pinang,Pulau Pinang,5923
2019,Hospital Queen Elizabeth Ii,Sabah,7174
2019,Hospital Raja Perempuan Zainab Ii,Kelantan,4484
2019,Hospital Raja Permaisuri Bainun,Perak,7911
2019,Hospital Seberang Jaya,Pulau Pinang,4796
2019,Hospital Seri Manjung,Perak,1561
2019,Hospital Sultan Haji Ahmad Shah,Pahang,1832
2019,Hospital Sultanah Aminah,Johor,11116
2019,Hospital Sultanah Bahiyah,Kedah,11088
2019,Hospital Sultanah Nora Ismail,Johor,2260
2019,Hospital Sultanah Nur Zahirah,Terengganu,5624
2019,Hospital Taiping,Perak,2191
2019,Hospital Tawau,Sabah,2194
2019,Hospital Tengku Ampuan Afzan,Pahang,5186
2019,Hospital Tengku Ampuan Rahimah,Selangor,7792
2019,Hospital Tuanku Jaafar,Negeri Sembilan,5071
2019,Hospital Umum Sarawak,Sarawak,4749
2020,Hospital Duchess Of Kent,Sabah,3274
2020,Hospital Melaka,Melaka,6326
2020,Hospital Miri,Sarawak,1146
2020,Hospital Pulau Pinang,Pulau Pinang,4424
2020,Hospital Queen Elizabeth Ii,Sabah,4729
2020,Hospital Raja Perempuan Zainab Ii,Kelantan,3998
2020,Hospital Raja Permaisuri Bainun,Perak,4953
2020,Hospital Seberang Jaya,Pulau Pinang,2990
2020,Hospital Seri Manjung,Perak,1427
2020,Hospital Sultan Haji Ahmad Shah,Pahang,1976
2020,Hospital Sultanah Aminah,Johor,9608
2020,Hospital Sultanah Bahiyah,Kedah,4647
2020,Hospital Sultanah Nora Ismail,Johor,2209
2020,Hospital Sultanah Nur Zahirah,Terengganu,4466
2020,Hospital Taiping,Perak,2476
2020,Hospital Tawau,Sabah,1964
2020,Hospital Tengku Ampuan Afzan,Pahang,4538
2020,Hospital Tengku Ampuan Rahimah,Selangor,6394
2020,Hospital Tuanku Jaafar,Negeri Sembilan,4040
2020,Hospital Umum Sarawak,Sarawak,3917
2021,Hospital Duchess Of Kent,Sabah,1932
2021,Hospital Melaka,Melaka,5344
2021,Hospital Miri,Sarawak,1047
2021,Hospital Pulau Pinang,Pulau Pinang,3515
2021,Hospital Queen Elizabeth Ii,Sabah,3735
2021,Hospital Raja Perempuan Zainab Ii,Kelantan,2858
2021,Hospital Raja Permaisuri Bainun,Perak,4696
2021,Hospital Seberang Jaya,Pulau Pinang,2740
2021,Hospital Seri Manjung,Perak,1284
2021,Hospital Sultan Haji Ahmad Shah,Pahang,1460
2021,Hospital Sultanah Aminah,Johor,7620
2021,Hospital Sultanah Bahiyah,Kedah,4535
2021,Hospital Sultanah Nora Ismail,Johor,1901
2021,Hospital Sultanah Nur Zahirah,Terengganu,3697
2021,Hospital Taiping,Perak,2150
2021,Hospital Tawau,Sabah,1383
2021,Hospital Tengku Ampuan Afzan,Pahang,3348
2021,Hospital Tengku Ampuan Rahimah,Selangor,4253
2021,Hospital Tuanku Jaafar,Negeri Sembilan,2943
2021,Hospital Umum Sarawak,Sarawak,3919
2022,Hospital Duchess Of Kent,Sabah,2110
2022,Hospital Melaka,Melaka,6724
2022,Hospital Miri,Sarawak,1531
2022,Hospital Pulau Pinang,Pulau Pinang,4753
2022,Hospital Queen Elizabeth Ii,Sabah,4978
2022,Hospital Raja Perempuan Zainab Ii,Kelantan,4238
2022,Hospital Raja Permaisuri Bainun,Perak,6759
2022,Hospital Seberang Jaya,Pulau Pinang,2739
2022,Hospital Seri Manjung,Perak,1713
2022,Hospital Sultan Haji Ahmad Shah,Pahang,1627
2022,Hospital Sultanah Aminah,Johor,8212
2022,Hospital Sultanah Bahiyah,Kedah,5101
2022,Hospital Sultanah Nora Ismail,Johor,2099
2022,Hospital Sultanah Nur Zahirah,Terengganu,5206
2022,Hospital Taiping,Perak,2331
2022,Hospital Tawau,Sabah,1704
2022,Hospital Tengku Ampuan Afzan,Pahang,4627
2022,Hospital Tengku Ampuan Rahimah,Selangor,6076
2022,Hospital Tuanku Jaafar,Negeri Sembilan,3540
2022,Hospital Umum Sarawak,Sarawak,3737
2023,Hospital Duchess Of Kent,Sabah,2047
2023,Hospital Melaka,Melaka,6022
2023,Hospital Miri,Sarawak,1601
2023,Hospital Pulau Pinang,Pulau Pinang,5181
2023,Hospital Queen Elizabeth Ii,Sabah,5452
2023,Hospital Raja Perempuan Zainab Ii,Kelantan,4861
2023,Hospital Raja Permaisuri Bainun,Perak,6268
2023,Hospital Seberang Jaya,Pulau Pinang,2666
2023,Hospital Seri Manjung,Perak,981
2023,Hospital Sultan Haji Ahmad Shah,Pahang,1633
2023,Hospital Sultanah Aminah,Johor,8071
2023,Hospital Sultanah Bahiyah,Kedah,4729
2023,Hospital Sultanah Nora Ismail,Johor,1834
2023,Hospital Sultanah Nur Zahirah,Terengganu,5620
2023,Hospital Taiping,Perak,2512
2023,Hospital Tawau,Sabah,1841
2023,Hospital Tengku Ampuan Afzan,Pahang,3961
2023,Hospital Tengku Ampuan Rahimah,Selangor,6222
2023,Hospital Tuanku Jaafar,Negeri Sembilan,3376
2023,Hospital Umum Sarawak,Sarawak,3848
2024,Hospital Duchess Of Kent,Sabah,1696
2024,Hospital Melaka,Melaka,5658
2024,Hospital Miri,Sarawak,1269
2024,Hospital Pulau Pinang,Pulau Pinang,4926
2024,Hospital Queen Elizabeth Ii,Sabah,5470
2024,Hospital Raja Perempuan Zainab Ii,Kelantan,5031
2024,Hospital Raja Permaisuri Bainun,Perak,5689
2024,Hospital Seberang Jaya,Pulau Pinang,2727
2024,Hospital Seri Manjung,Perak,954
2024,Hospital Sultan Haji Ahmad Shah,Pahang,1959
2024,Hospital Sultanah Aminah,Johor,7976
2024,Hospital Sultanah Bahiyah,Kedah,4632
2024,Hospital Sultanah Nora Ismail,Johor,1949
2024,Hospital Sultanah Nur Zahirah,Terengganu,5360
2024,Hospital Taiping,Perak,2368
2024,Hospital Tawau,Sabah,1621
2024,Hospital Tengku Ampuan Afzan,Pahang,3752
2024,Hospital Tengku Ampuan Rahimah,Selangor,6685
2024,Hospital Tuanku Jaafar,Negeri Sembilan,3646
2024,Hospital Umum Sarawak,Sarawak,3792
2010,Johor,17-24,5347
2010,Johor,25-29,3150
2010,Johor,30-34,2534
2010,Johor,35-39,2075
2010,Johor,40-44,1633
2010,Johor,45-49,1035
2010,Johor,50-54,514
2010,Johor,55-59,164
2010,Johor,60-64,18
2010,Johor,other,204
2010,Kedah,17-24,10714
2010,Kedah,25-29,2503
2010,Kedah,30-34,1683
2010,Kedah,35-39,1379
2010,Kedah,40-44,1178
2010,Kedah,45-49,811
2010,Kedah,50-54,452
2010,Kedah,55-59,200
2010,Kedah,60-64,16
2010,Kedah,other,25
2010,Kelantan,17-24,5145
2010,Kelantan,25-29,617
2010,Kelantan,30-34,465
2010,Kelantan,35-39,416
2010,Kelantan,40-44,321
2010,Kelantan,45-49,232
2010,Kelantan,50-54,128
2010,Kelantan,55-59,48
2010,Kelantan,60-64,4
